#,Country/territory,Date of first store,First outlet location,Max. no. ofoperatingoutlets,People per outlet,Notes
1,United States,"May 15, 1940Franchise: April 15, 1955","San Bernardino, CaliforniaDes Plaines, Illinois (Franchise)","15,000","23,000",First outlet. See McDonald's USA
2,Canada (details),"June 3, 1967","Richmond, British Columbia(Reopened June 23, 2017)","1,600","24,000",First outlet outside the United States. See McDonald's Canada
3,Puerto Rico(territory of United States),"November 10, 1967",San Juan,95,"29,583",First McDonald's in Latin America and in the Caribbean and the first McDonald's in a Hispanophone area. See McDonald's Puerto Rico
4,United States Virgin Islands(territory of United States),"September 5, 1970",St. Croix,5,"17,878",
5,Costa Rica,"December 8, 1970","San José, 4th street, between 1st and Central Avenue.",73,"71,428",Third country (not U.S. possession) where McDonald's opened. See McDonald's Costa Rica
6,Australia,"May 30, 1971","Yagoona, New South Wales[12]","1,100","25,000","First outlet in Oceania, outside the Americas, and in the Southern Hemisphere. See McDonald's Australia. Locally nicknamed as Maccas."
7,Guam(territory of United States),"June 10, 1971",Dededo,7,"27,372",First outlet in Micronesia. See McDonald's Guam & Saipan
8,Japan,"July 21, 1971","Ginza Mitsukoshi, Ginza, Chuo City, Tokyo","5,000","26,000","First outlet in Asia, McDonald's Holdings Company Japan, Inc.[13] locally known as makku (マック) and makudo.[14] See McDonald's Japan"
9,Netherlands,"August 21, 1971",Zaandam,263[15],"68,160",This was the first outlet in Europe. Opened in 1971 by European Master Franchisees Jan Sybesma McDonald's Europe – Plan to open 15 more stores in the next 4 years. See McDonald's Netherlands
10,Panama,"September 1, 1971",Panama City,81,"71,912",See McDonald's Panama
11,Germany,"November 22, 1971(West Germany)December 21, 1990(former East Germany)[16]",Munich(West Germany)Plauen(former East Germany),"1,500[17][18]","56,000",First outlet in West Germany opened in Munich-Obergiesing in 1971. McDonald's is locally known as Mäkkes. First outlet in the new states of Germany opened in Plauen in 1990 following reunification. See McDonald's Germany
12,France (details),"June 30, 1972",Créteil,"2,200[19]","31,000","First outlet in Creteil in 1972 even though McDonald's officially recognizes the first outlet in Strasbourg in 1979. In 2019, France was the largest European market for the hamburger chain. See McDonald's France."
13,El Salvador,"July 20, 1972",San Salvador,22,"318,900",
14,Sweden,"October 27, 1973","Kungsgatan 4, Stockholm",196,"55,478",First outlet in Scandinavia. See McDonald's Sweden
15,Guatemala,"June 6, 1974",Guatemala City,110,"179,894",See McDonald's Guatemala
16,Curaçao(part of Netherlands Antilles at the time),"August 16, 1974",Willemstad,5,"32,203",See McDonald's Curaçao
17,United Kingdom,"England: November 13, 1974[20]Wales: December 3, 1984Scotland: November 23, 1987[21]Northern Ireland: October 12, 1991","Woolwich, London (England)Cardiff (Wales)Dundee (Scotland)Belfast (Northern Ireland)","1,436","51,601","Includes Isle of Man and Jersey (1 each)England: 1,038Scotland: 95Wales: 62Northern Ireland: 26See McDonald's UK
Locally nicknamed as Maccies, and Maccy D's but not officially reconosed as the name for McDonald's UK"
18,Hong Kong(British Hong Kong at the time),"January 8, 1975","Paterson Street, Causeway Bay, Hong Kong Island (now closed)[22]",254,"31,190",First outlet in a Chinese-speaking territory. Hong Kong was then a British Crown colony/Dependent Territory; McDonald's would open up a restaurant in China itself 15 years later. See McDonald's Hong Kong
19,Bahamas,"August 4, 1975",Nassau,3,"131,787",First outlet in an independent country of the Caribbean. See McDonald's Bahamas
20,New Zealand (details),"June 7, 1976","Porirua Central, Wellington[23]",170,"30,657","Founded in New Zealand by Wally and Hugh Morris[24]First South Island restaurants opened at Linwood and Merivale, both Christchurch, on November 3, 1987.[25] See McDonald's New Zealand."
21,Switzerland,"October 20, 1976",Geneva,179,"50,013",First outlet in a landlocked country. See McDonald's Switzerland
22,Ireland,"May 9, 1977","Grafton Street, Dublin",95,"55,691","First drive-thru in Europe opened in Nutgrove, Dublin and first McCafé in Europe Grafton Street, Dublin. See McDonald's Ireland"
23,Austria,"July 21, 1977","Schwarzenbergplatz, Vienna",199,"44,693",See McDonald's Austria
24,Belgium,"March 21, 1978",Brussels,111,"106,341",See McDonald's Belgium
25,Brazil,"February 13, 1979","Copacabana, Rio de Janeiro","1,800","120,000","First outlet opened in Copacabana, Rio de Janeiro, in 1979. First outlet opened in South America and first outlet in a lusophone country. Locally known as Méqui. See McDonald's Brazil"
26,Singapore,"October 20, 1979","Liat Towers, Orchard Road",151,"36,604",First outlet in Southeast Asia at Liat Towers. See McDonald's Singapore[26]
27,Spain,"March 10, 1981","Gran Vía, Madrid",605[27],"81,802",First outlet in the Iberian Peninsula. See McDonald's Spain
28,Denmark,"April 15, 1981","Vesterbrogade 2D, Copenhagen",260,"23,000",See McDonald's Denmark
29,Philippines (details),"September 27, 1981","Nicanor Reyes Street (Morayta), Sampaloc, Manila",740,"155,988",Licensed to Alliance Global Group. See McDonald's Philippines
30,Malaysia,"April 29, 1982","Jalan Bukit Bintang, Kuala Lumpur[28]",371,"94,857",Oldest surviving outlet in a Muslim-majority country. See McDonald's Malaysia
31,Norway,"November 18, 1983","Nedre Slottsgate, Oslo",79,"68,612",The world's northernmost branch is located in Tromsø. See McDonald's Norway
32,Taiwan,"January 28, 1984","Minsheng East Road, Taipei",409[29],"57,094",All restaurants were temporarily closed in 1992 during investigations of restaurant bombings in Taiwan; they reopened after investigations had concluded. See McDonald's Taiwan
33,Andorra,"June 29, 1984",Andorra la Vella,5,"15,393",See McDonald's Andorra
34,Finland,"December 14, 1984","Hämeenkatu 17, Tampere",140,"40,000",The branch in Rovaniemi was the world's northernmost McDonalds from 1997 to 2013 and again from 2022 to 2024. See McDonald's Finland
35,Thailand,"February 23, 1985",Bangkok,230,"304,140",See McDonald's Thailand
36,Italy,"March 20, 1985",Bolzano[30],709,"83,836",See McDonald's Italy
37,Aruba(part of Netherlands Antilles at the time),"April 4, 1985",Oranjestad,3,"26,316",See McDonald's Aruba
38,Luxembourg,"July 17, 1985",Luxembourg City,12,"55,067",See McDonald's Luxembourg
39,Venezuela,"August 31, 1985","El Rosal, Caracas (now closed)",83,"240,451",See McDonald's Venezuela
40,Mexico,"October 29, 1985","El Pedregal, Mexico City",780[29],"170,000",See McDonald's Mexico
41,Cuba,"April 24, 1986",Guantanamo Bay,1,"11,480,000",Guantanamo Bay; open only to U.S. military personnel. Not accessible for Cuban citizens.
42,Turkey,"October 24, 1986",Istanbul,263[29],"328,121","First outlet opened in East Thrace; outlets in Anatolia would open later. Also first outlet in the Turkic-speaking world, with Azerbaijan coming second at 1999. See McDonald's Turkey"
43,Argentina,"November 24, 1986","Belgrano, Buenos Aires",420,"110,000",See McDonald's Argentina
44,Macau(Portuguese Macau at the time),"April 11, 1987","Rua do Campo, Cathedral Parish, Macau Peninsula",39,"23,058","Then Portuguese territory; Technically first in Portugal land, McDonald's would only open a restaurant in Portugal itself 4 years later. see List of restaurants."
45,Serbia(part of Yugoslavia at the time),"March 24, 1988","Slavija Square, Belgrade",35,"190,400",First outlet in a communist country and in the Balkans. See McDonald's Serbia
46,South Korea,"March 29, 1988","Gangnam District, Seoul",399,"115,145",See McDonald's South Korea
47,Hungary(Hungarian People's Republic at the time),"April 13, 1988",Budapest[31],111,"85,646","First outlet in a Warsaw Pact country, thus first outlet behind the Iron Curtain. Locally known as Meki. See McDonald's Hungary"
48,China,"October 8, 1990","Dongmen, Luohu District, Shenzhen","4,500","310,000",The most in a market besides Japan and the US. See McDonald's China
49,Chile,"November 19, 1990","Las Condes, Santiago",300,"65,000",See McDonald's Chile
50,Indonesia,"February 23, 1991","Sarinah, Jakarta (now closed)",290,"990,000","First branch in Sarinah closed in 2020 due to refurbishment of Sarinah itself, the outlet would move 3 years later to the adjacent Jaya Building.[32] See McDonald's Indonesia"
51,Portugal,"May 23, 1991","CascaiShopping, Cascais",199,"53,955",See McDonald's Portugal
52,Greece,"November 12, 1991",Athens Syntagma Square,32,"349,416",See McDonald's Greece
53,Uruguay,"November 18, 1991","Montevideo Shopping, Montevideo",33,"164,619",See McDonald's Uruguay
54,Martinique(part of France),"December 16, 1991",Fort-de-France,10,"40,484",See McDonald's French Antilles
